timestamp,accX,accY,accZ
0.0,14.7442,-1.8103,3.5148
20.0,-0.2612,-4.9983,6.5261
40.0,0.0064,-5.4911,5.6868
60.0,0.2741,-5.984,4.8476
80.0,0.5417,-6.4768,4.0083
100.0,1.7,-7.1,2.35
120.0,3.4445,-2.2825,7.659
140.0,3.7295,-2.5916,7.2869
160.0,4.0145,-2.9007,6.9149
180.0,4.2995,-3.2098,6.5428
200.0,6.467,-3.067,6.133
220.0,27.5863,-10.0981,-13.0272
240.0,29.0609,-7.2334,-15.9615
260.0,30.5354,-4.3688,-18.8958
280.0,32.0099,-1.5042,-21.8301
300.0,22.87,-14.859,-32.438
320.0,-17.797,-11.407,-3.9634
340.0,-15.531,-12.397,-7.7143
360.0,-13.265,-13.387,-11.4652
380.0,-10.999,-14.377,-15.2161
400.0,-8.733,-15.367,-18.967
420.0,-4.9656,-3.5219,-4.6922
440.0,-4.9875,-4.1247,-5.7063
460.0,-5.0094,-4.7276,-6.7203
480.0,-5.0313,-5.3304,-7.7344
500.0,-8.653,-4.22,-9.241
520.0,-2.4375,-0.2399,-1.1349
540.0,-2.0556,-0.4758,-1.5454
560.0,-1.6737,-0.7118,-1.956
580.0,-1.2917,-0.9477,-2.3665
600.0,-0.328,-1.86,-0.896
620.0,8.2218,-23.5275,8.7697
640.0,8.9898,-24.5199,6.116
660.0,9.7578,-25.5124,3.4622
680.0,10.5258,-26.5048,0.8084
700.0,10.8262,-25.3208,-4.0104
720.0,7.2055,-12.6731,-1.3525
740.0,7.4348,-11.9599,-1.4883
760.0,7.664,-11.2467,-1.6241
780.0,7.8932,-10.5335,-1.76
800.0,8.0149,-9.7048,-1.8371
820.0,4.77,-4.285,2.804
840.0,4.5768,-4.1126,2.9989
860.0,4.3837,-3.9402,3.1939
880.0,4.1905,-3.7678,3.3888
900.0,2.519,-1.559,1.485
920.0,11.6023,5.1241,11.9442
940.0,12.1534,5.0815,10.4178
960.0,12.7044,5.039,8.8914
980.0,13.2555,4.9964,7.3651
1000.0,17.955,4.991,-3.493
1020.0,21.5515,-19.5873,-24.0061
1040.0,23.0763,-19.9411,-16.981
1060.0,24.601,-20.2948,-9.9558
1080.0,26.1257,-20.6486,-2.9306
1100.0,17.249,-20.633,5.496
1120.0,3.4735,-7.8474,10.0618
1140.0,3.6326,-6.9028,9.7287
1160.0,3.7917,-5.9581,9.3956
1180.0,3.9508,-5.0134,9.0625
1200.0,3.788,-4.703,6.221
1220.0,-7.4476,-10.5252,-6.3807
1240.0,-6.0996,-8.2274,-5.1747
1260.0,-4.7516,-5.9297,-3.9687
1280.0,-3.4036,-3.6319,-2.7627
1300.0,-3.077,-2.851,-2.583
1320.0,-0.7381,-1.0868,-1.3881
1340.0,-0.3875,-0.8702,-0.521
1360.0,-0.0368,-0.6535,0.3461
1380.0,0.3139,-0.4368,1.2132
1400.0,8.896,-6.641,14.849
1420.0,29.094,-21.0906,8.6517
1440.0,28.5993,-17.1486,7.4994
1460.0,28.1046,-13.2067,6.3471
1480.0,27.6099,-9.2648,5.1947
1500.0,25.9733,-4.9367,4.1333
1520.0,7.848,0.836,1.7
1540.0,7.0369,1.3416,1.4835
1560.0,6.2257,1.8471,1.2671
1580.0,5.4146,2.3527,1.0506
1600.0,4.1808,3.0056,0.776
1620.0,0.3866,13.9416,-0.4554
1640.0,1.5823,14.5755,-1.1015
1660.0,2.778,15.2093,-1.7477
1680.0,24.396,-2.813,-0.5
1700.0,26.8457,-3.1198,-1.1713
1720.0,29.2955,-3.4267,-1.8426
1740.0,31.7452,-3.7335,-2.5138
1760.0,34.195,-4.0404,-3.1851
1780.0,36.6447,-4.3472,-3.8564
1800.0,35.194,-6.569,1.143
1820.0,32.5896,-6.7258,1.8903
1840.0,29.9851,-6.8825,2.6375
1860.0,27.3807,-7.0393,3.3848
1880.0,24.7762,-7.1961,4.1321
1900.0,19.3065,-6.509,5.6965
1920.0,4.708,-0.2614,3.2927
1940.0,4.3688,-0.7687,3.4461
1960.0,4.0296,-1.2761,3.5995
1980.0,3.6903,-1.7834,3.7529
2000.0,3.1243,-5.598,8.1197
2020.0,-3.94,-0.6153,-1.6947
2040.0,-3.5628,-0.5885,-0.8815
2060.0,-3.1856,-0.5618,-0.0682
2080.0,-2.8085,-0.5351,0.7451
2100.0,-1.768,-0.132,6.911
2120.0,34.5435,-16.3364,13.1483
2140.0,35.6862,-11.7783,9.2846
2160.0,36.8289,-7.2203,5.421
2180.0,37.9716,-2.6622,1.5573
2200.0,36.3143,1.8914,-2.9029
2220.0,8.8361,0.1807,-5.7936
2240.0,7.9083,0.342,-5.7808
2260.0,6.9804,0.5033,-5.7679
2280.0,6.0526,0.6646,-5.7551
2300.0,5.1248,0.8259,-5.7423
2320.0,-3.7938,3.0462,-5.1201
2340.0,-3.5712,3.6988,-4.5911
2360.0,-3.3488,4.3512,-4.0621
2380.0,-3.1263,5.0038,-3.5331
2400.0,-2.5416,5.577,-3.1066
2420.0,-0.5823,6.762,-4.4353
2440.0,-0.0112,6.6387,-4.0257
2460.0,0.5599,6.5153,-3.6162
2480.0,1.131,6.392,-3.2066
2500.0,7.362,4.502,-2.796
2520.0,37.0307,-3.2316,14.9403
2540.0,36.1364,-2.5432,16.3823
2560.0,35.2421,-1.8549,17.8242
2580.0,34.3479,-1.1665,19.2662
2600.0,31.9374,0.0506,20.3495
2620.0,5.44,0.9605,7.5077
2640.0,4.53,1.6055,7.5101
2660.0,3.62,2.2505,7.5125
2680.0,2.71,2.8955,7.5149
2700.0,1.72,3.104,7.2263
2720.0,-0.8203,1.6197,7.3267
2740.0,-3.4075,-4.0061,8.6749
2760.0,-4.3456,-3.9674,8.2498
2780.0,-5.2837,-3.9288,7.8246
2800.0,-5.802,-2.76,3.276
2820.0,-1.0754,-0.5947,5.687
2840.0,-0.492,-0.673,6.0749
2860.0,0.0915,-0.7513,6.4629
2880.0,0.6749,-0.8295,6.8508
2900.0,3.923,2.07,7.044
2920.0,18.7153,20.7939,9.8915
2940.0,19.217,18.0324,10.9096
2960.0,19.7187,15.2709,11.9277
2980.0,20.2205,12.5094,12.9457
